title,genre,console,year,month,total_sales
Invokers Tournament,Action,PS4,2015,1,
Shooting Love Trilogy,Shooter,XOne,2015,7,
Spy Chameleon - RGB Agent,Puzzle,XOne,2015,5,
Shovel Knight,Platform,PS4,2015,4,
Shovel Knight,Platform,XOne,2015,10,
Rogue Legacy,Action,XOne,2015,5,
Woah Dave!,Action,PS4,2015,3,
Ori and the Blind Forest,Platform,XOne,2015,3,
Forza Motorsport 6,Racing,XOne,2015,9,
Forza Horizon 2 Presents Fast & Furious,Racing,XOne,2015,3,
Halo 5: Guardians,Shooter,XOne,2015,10,
Gears of War: Ultimate Edition,Shooter,XOne,2015,8,
Magic 2015 - Duels of the Planeswalker,Strategy,XOne,2015,11,
Fenix Rage,Platform,XOne,2015,1,
SteamWorld Dig: A Fistful of Dirt,Platform,XOne,2015,6,
Q*bert: Rebooted,Action,PS4,2015,2,
Volume,Action,PS4,2015,8,
Sword Art Online: Game Director's Edition,Role-Playing,PS4,2015,11,0.06
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,Misc,PS4,2015,11,0.04
Godzilla (2014),Action,PS4,2015,7,
Professional Farmer 2016,Action,XOne,2015,11,
Woodcutter Simulator 2016,Action,XOne,2015,2,
Dragon Ball: Xenoverse,Fighting,PS4,2015,2,
Dragon Ball: Xenoverse,Fighting,XOne,2015,2,
Dark Souls II: Scholar of the First Sin,Role-Playing,PS4,2015,4,
Dark Souls II: Scholar of the First Sin,Role-Playing,XOne,2015,4,
Professional Lumberjack 2016,Simulation,PS4,2015,3,
Professional Lumberjack 2016,Simulation,XOne,2015,3,
Funk of Titans,Platform,XOne,2015,1,
Knight Squad,Action,XOne,2015,11,
Spectra,Racing,XOne,2015,5,
Magicka 2,Action,PS4,2015,5,
Pure Pool,Sports,XOne,2015,1,
Home - a Unique Horror Adventure,Misc,PS4,2015,1,
Aritana and the Harpy's Feather,Platform,XOne,2015,9,
Oddworld: Abe's Oddysee New N' Tasty!,Platform,XOne,2015,3,
Shiftlings,Platform,PS4,2015,3,
Shiftlings,Platform,XOne,2015,3,
Blue Estate,Misc,XOne,2015,1,
Blue Estate,Misc,PS4,2015,1,
Infinity Runner,Action,PS4,2015,4,
Infinity Runner,Action,XOne,2015,4,
Ironclad Tactics,Misc,PS4,2015,1,
#IDARB,Action,XOne,2015,2,
Goosebumps: The Game,Adventure,XOne,2015,10,
Shantae: Risky's Revenge,Platform,PS4,2015,6,
Bombshell,Misc,PS4,2015,1,
Krinkle Krusher,Strategy,PS4,2015,4,
Neverwinter,Role-Playing,XOne,2015,3,
Uncharted: The Nathan Drake Collection,Action,PS4,2015,10,
God of War III Remastered,Action,PS4,2015,7,
Fat Princess Adventures,Action,PS4,2015,12,
Helldivers,Action,PS4,2015,8,
The Mark of Kri,Action,PS4,2015,12,
Until Dawn,Adventure,PS4,2015,8,
Everybody's Gone to the Rapture,Adventure,PS4,2015,8,
Beyond: Two Souls,Adventure,PS4,2015,11,
Journey,Adventure,PS4,2015,7,
The Last of Us: Left Behind,Action-Adventure,PS4,2015,5,
War of the Monsters,Fighting,PS4,2015,12,
Journey Collector's Edition,Misc,PS4,2015,9,
FantaVision,Puzzle,PS4,2015,12,
Driveclub Bikes,Racing,PS4,2015,10,
Twisted Metal: Black,Racing,PS4,2015,12,
Bloodborne,Role-Playing,PS4,2015,3,
Dark Cloud,Role-Playing,PS4,2015,12,
Super Stardust Ultra,Shooter,PS4,2015,2,
Hustle Kings,Sports,PS4,2015,2,
GUNS UP!,Strategy,PS4,2015,12,
Lifeless Planet,Puzzle,XOne,2015,5,
World Soccer Winning Eleven 2015,Action,PS4,2015,6,
Onigiri,Role-Playing,PS4,2015,10,
The Witcher 3: Wild Hunt,Role-Playing,PS4,2015,5,
The Witcher 3: Wild Hunt,Role-Playing,XOne,2015,5,
Bastion,Role-Playing,PS4,2015,4,
Devil May Cry 4 Special Edition,Action,PS4,2015,6,0.1
The Crew: Wild Run,Racing,XOne,2015,11,0.02
The Peanuts Movie: Snoopy's Grand Adventure,Platform,PS4,2015,11,0.03
The Peanuts Movie: Snoopy's Grand Adventure,Platform,XOne,2015,11,0.0
Deception IV: The Nightmare Princess,Action,PS4,2015,7,0.0
Saints Row: Gat out of Hell,Action,XOne,2015,1,0.02
Kung Fu Panda: Showdown of Legendary Legends,Action,XOne,2015,12,0.0
Omega Quintet,Role-Playing,PS4,2015,4,0.03
Back to the Future: The Game,Adventure,XOne,2015,10,0.02
MotoGP 15,Racing,XOne,2015,6,0.03
ScreamRide,Simulation,XOne,2015,3,0.01
Ziggurat,Shooter,XOne,2015,3,0.01
WRC 5: FIA World Rally Championship,Racing,XOne,2015,11,0.02
Handball 16,Sports,XOne,2015,11,0.0
God Eater 2: Rage Burst,Role-Playing,PS4,2015,2,0.12
Professional Farmer 2016,Simulation,PS4,2015,11,0.02
Woodcutter Simulator 2016,Action,PS4,2015,2,0.01
Rugby World Cup 2015,Sports,XOne,2015,9,0.02
Broken Sword 5: The Serpent's Curse,Adventure,XOne,2015,9,0.02
Raven's Cry,Role-Playing,PS4,2015,1,0.01
Don Bradman Cricket 14,Sports,XOne,2015,4,0.04
Rugby League Live 3,Sports,PS4,2015,9,0.02
Rugby League Live 3,Sports,XOne,2015,9,0.01
Blood Bowl 2,Sports,PS4,2015,5,0.0
